day,LCLid,energy
2012-05-15,MAC003045,3.197
2012-05-16,MAC003045,5.02
2012-05-17,MAC003045,4.734
2012-05-18,MAC003045,4.94
2012-05-19,MAC003045,5.025
2012-05-20,MAC003045,5.959
2012-05-21,MAC003045,4.849
2012-05-22,MAC003045,4.685
2012-05-23,MAC003045,4.388
2012-05-24,MAC003045,3.377
2012-05-25,MAC003045,4.54
2012-05-26,MAC003045,4.494
2012-05-27,MAC003045,4.621
2012-05-28,MAC003045,5.014
2012-05-29,MAC003045,4.569
2012-05-30,MAC003045,4.454
2012-05-31,MAC003045,4.633
2012-06-01,MAC003045,4.637
2012-06-02,MAC003045,4.979
2012-06-03,MAC003045,4.929
2012-06-04,MAC003045,4.784
2012-06-05,MAC003045,5.019
2012-06-06,MAC003045,4.857
2012-06-07,MAC003045,5.129
2012-06-08,MAC003045,4.853
2012-06-09,MAC003045,5.067
2012-06-10,MAC003045,4.789
2012-06-11,MAC003045,5.06
2012-06-12,MAC003045,5.671
2012-06-13,MAC003045,0.094
2012-06-16,MAC003045,4.115
2012-06-17,MAC003045,4.905
2012-06-18,MAC003045,5.539
2012-06-19,MAC003045,4.478
2012-06-20,MAC003045,3.932
2012-06-21,MAC003045,3.935
2012-06-22,MAC003045,4.019
2012-06-23,MAC003045,4.977
2012-06-24,MAC003045,4.666
2012-06-25,MAC003045,4.85
2012-06-26,MAC003045,4.637
2012-06-27,MAC003045,4.536
2012-06-28,MAC003045,4.829
2012-06-29,MAC003045,4.784
2012-06-30,MAC003045,4.593
2012-07-01,MAC003045,4.219
2012-07-02,MAC003045,4.909
2012-07-03,MAC003045,4.607
2012-07-04,MAC003045,4.632
2012-07-05,MAC003045,4.878
2012-07-06,MAC003045,4.707
2012-07-07,MAC003045,4.944
2012-07-08,MAC003045,4.668
2012-07-09,MAC003045,5.006
2012-07-10,MAC003045,4.882
2012-07-11,MAC003045,4.902
2012-07-12,MAC003045,4.809
2012-07-13,MAC003045,4.755
2012-07-14,MAC003045,4.731
2012-07-15,MAC003045,5.149
2012-07-16,MAC003045,4.601
2012-07-17,MAC003045,5.016
2012-07-18,MAC003045,4.993
2012-07-19,MAC003045,5.132
2012-07-20,MAC003045,3.753
2012-07-21,MAC003045,3.874
2012-07-22,MAC003045,4.15
2012-07-23,MAC003045,4.172
2012-07-24,MAC003045,4.358
2012-07-25,MAC003045,4.039
2012-07-26,MAC003045,4.01
2012-07-27,MAC003045,3.744
2012-07-28,MAC003045,4.219
2012-07-29,MAC003045,4.004
2012-07-30,MAC003045,4.564
2012-07-31,MAC003045,4.1450000000000005
2012-08-01,MAC003045,3.909
2012-08-02,MAC003045,4.016
2012-08-03,MAC003045,3.984
2012-08-04,MAC003045,4.487
2012-08-05,MAC003045,4.62
2012-08-06,MAC003045,4.313
2012-08-07,MAC003045,3.973
2012-08-08,MAC003045,4.141
2012-08-09,MAC003045,3.891
2012-08-10,MAC003045,3.802
2012-08-11,MAC003045,4.35
2012-08-12,MAC003045,3.776
2012-08-13,MAC003045,3.948
2012-08-14,MAC003045,3.577
2012-08-15,MAC003045,4.328
2012-08-16,MAC003045,3.996
2012-08-17,MAC003045,4.392
2012-08-18,MAC003045,4.499
2012-08-19,MAC003045,4.174
2012-08-20,MAC003045,4.477
2012-08-21,MAC003045,4.219
2012-08-22,MAC003045,4.193
