day,avg_energy,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,WindGustKmph,cloudcover,humidity,precipMM,pressure,visibility,winddirDegree,IsBankHoliday
2011-11-23,6.952692315384615,10.0,5.0,0.0,8.7,2.0,16.0,18.0,25.0,90.0,0.0,1027,7.0,257,0
2011-11-24,8.536479996,13.0,8.0,0.0,8.7,3.0,9.0,30.0,45.0,92.0,0.0,1028,10.0,205,0
2011-11-25,9.499781246875,12.0,7.0,0.0,8.7,2.0,2.0,31.0,44.0,87.0,0.2,1024,9.0,240,0
2011-11-26,10.267707309756098,12.0,6.0,0.0,8.2,3.0,5.0,35.0,30.0,90.0,0.0,1026,10.0,229,1
2011-11-27,10.850804892682929,12.0,6.0,0.0,6.8,3.0,11.0,36.0,38.0,85.0,0.3,1021,10.0,258,1
2011-11-28,9.103381814545454,10.0,5.0,0.0,8.2,3.0,18.0,20.0,36.0,87.0,0.1,1023,10.0,197,0
2011-11-29,9.274873023809524,13.0,7.0,0.0,3.1,3.0,25.0,40.0,80.0,90.0,0.5,1010,9.0,205,0
2011-11-30,8.813513157894738,11.0,5.0,0.0,6.8,2.0,32.0,32.0,33.0,85.0,0.0,1019,10.0,205,0
2011-12-01,9.227706527173911,11.0,5.0,0.0,4.9,2.0,39.0,25.0,78.0,90.0,7.25,1007,9.0,143,0
2011-12-02,10.145910005,7.0,3.0,0.0,8.1,2.0,45.0,21.0,35.0,91.0,7.25,1012,9.0,254,0
2011-12-03,10.78027272909091,10.0,6.0,0.0,4.9,2.0,52.0,36.0,60.0,91.0,7.25,1004,9.0,240,1
2011-12-04,12.163127274545456,9.0,4.0,0.0,4.9,2.0,59.0,30.0,67.0,92.0,0.6,1001,10.0,246,1
2011-12-05,10.609714288888888,6.0,2.0,0.0,8.0,2.0,66.0,36.0,25.0,86.0,0.1,1005,10.0,255,0
2011-12-06,11.673416666666668,6.0,1.0,0.0,8.0,1.0,72.0,34.0,48.0,88.0,0.0,1007,10.0,245,0
2011-12-07,10.889361845394737,7.0,3.0,0.0,8.0,3.0,79.0,45.0,23.0,84.0,0.1,1008,10.0,253,0
2011-12-08,11.525149698802396,11.0,3.0,0.0,3.0,2.0,86.0,47.0,71.0,90.0,1.3,1011,8.0,223,0
2011-12-09,11.759836954891304,7.0,2.0,0.0,8.0,2.0,93.0,34.0,15.0,84.0,0.2,1010,10.0,250,0
2011-12-10,12.633800992537314,5.0,0.0,0.0,8.0,2.0,99.0,26.0,14.0,90.0,0.0,1015,10.0,255,1
2011-12-11,13.749174137313434,8.0,2.0,0.0,3.0,2.0,94.0,31.0,76.0,94.0,4.6,1008,8.0,194,1
2011-12-12,11.951958332407408,7.0,2.0,0.0,7.9,2.0,87.0,37.0,43.0,90.0,1.3,1003,10.0,232,0
2011-12-13,11.957446429464284,9.0,4.0,0.0,7.9,2.0,80.0,47.0,53.0,82.0,1.1,990,10.0,222,0
