day,avg_energy,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,IsBankHoliday
2011-11-23,6.952692315384615,10,5,0.0,8.7,2,16,6,5,7,5,18,25,90,0.0,1027,10,7,257,10,0
2011-11-24,8.536479996,13,8,0.0,8.7,3,9,8,7,9,7,30,45,92,0.0,1028,13,10,205,16,0
2011-11-25,9.499781246875001,12,7,0.0,8.7,2,2,8,7,10,7,31,44,87,0.2,1024,12,9,240,19,0
2011-11-26,10.267707309756098,12,6,0.0,8.2,3,5,7,6,9,6,35,30,90,0.0,1026,12,10,229,20,1
2011-11-27,10.850804892682927,12,6,0.0,6.8,3,11,8,8,10,8,36,38,85,0.3,1021,12,10,258,22,1
2011-11-28,9.103381814545454,10,5,0.0,8.2,3,18,5,5,7,5,20,36,87,0.1,1023,10,10,197,11,0
2011-11-29,9.274873023809524,13,7,0.0,3.1,3,25,9,8,11,8,40,80,90,0.5,1010,13,9,205,25,0
2011-11-30,8.813513157894738,11,5,0.0,6.8,2,32,5,4,8,4,32,33,85,0.0,1019,11,10,205,18,0
2011-12-01,9.227706527173913,11,5,0.0,4.9,2,39,7,7,9,7,25,78,90,8.7,1007,11,9,143,15,0
2011-12-02,10.145910005,7,3,0.0,8.1,2,45,4,2,5,2,21,35,91,7.3,1012,7,9,254,12,0
2011-12-03,10.78027272909091,10,6,0.0,4.9,2,52,7,5,9,5,36,60,91,7.5,1004,10,9,240,21,1
2011-12-04,12.163127274545456,9,4,0.0,4.9,2,59,5,3,6,3,30,67,92,0.6,1001,9,10,246,17,1
2011-12-05,10.609714288888888,6,2,0.0,8.0,2,66,1,-2,3,-2,36,25,86,0.1,1005,6,10,255,21,0
2011-12-06,11.673416666666668,6,1,0.0,8.0,1,72,2,-1,3,-1,34,48,88,0.0,1007,6,10,245,19,0
2011-12-07,10.889361845394737,7,3,0.0,8.0,3,79,3,1,5,1,45,23,84,0.1,1008,7,10,253,26,0
2011-12-08,11.525149698802396,11,3,0.0,3.0,2,86,6,4,8,4,47,71,90,1.3,1011,11,8,223,27,0
2011-12-09,11.759836954891304,7,2,0.0,8.0,2,93,2,0,4,0,34,15,84,0.2,1010,7,10,250,20,0
2011-12-10,12.633800992537314,5,0,0.0,8.0,2,99,0,-2,2,-2,26,14,90,0.0,1015,5,10,255,14,1
2011-12-11,13.749174137313434,8,2,0.0,3.0,2,94,4,2,5,2,31,76,94,4.6,1008,8,8,194,17,1
2011-12-12,11.951958332407408,7,2,0.0,7.9,2,87,3,1,5,1,37,43,90,1.3,1003,7,10,232,22,0
2011-12-13,11.957446429464285,9,4,0.0,7.9,2,80,4,3,7,3,47,53,82,1.1,990,9,10,222,29,0
2011-12-14,12.392775862931034,6,3,0.0,7.9,2,73,1,0,4,0,31,28,83,0.1,994,6,10,220,18,0
2011-12-15,12.534904767460317,7,3,0.0,7.9,1,67,2,0,4,0,37,35,87,0.6,997,7,9,218,21,0
2011-12-16,13.376080141603055,2,1,3.7,6.7,1,60,1,-3,2,-3,37,71,96,18.1,987,2,7,239,23,0
2011-12-17,13.511967853928573,5,0,0.0,5.8,2,53,0,-4,1,-4,30,38,92,0.0,1007,5,10,289,17,1
2011-12-18,14.732271427499999,4,-1,0.0,3.8,1,46,-1,-4,0,-4,30,31,92,0.4,1016,4,10,298,17,1
2011-12-19,13.774470971612905,5,-1,0.0,1.9,1,40,2,-2,2,-2,25,72,97,3.1,1014,5,9,241,14,0
2011-12-20,12.709106376291793,6,4,0.0,3.8,1,33,4,1,5,1,31,60,93,0.1,1015,6,10,278,17,0
2011-12-21,12.148570198567334,11,5,0.0,1.9,2,26,7,6,8,6,25,84,96,0.3,1018,11,7,263,14,0
2011-12-22,11.839403265940055,11,8,0.0,5.8,3,19,8,6,9,6,30,47,94,0.1,1024,11,10,262,17,0
2011-12-23,12.254989421428572,11,4,0.0,1.9,2,12,7,5,8,5,38,65,93,4.9,1018,11,10,237,24,0
2011-12-24,13.06531745899471,7,2,0.0,5.8,1,6,3,0,4,0,34,36,89,0.1,1028,7,10,252,19,1
2011-12-25,12.949428567460318,11,7,0.0,3.8,2,1,8,5,9,5,38,62,94,0.3,1028,11,10,227,22,1
2011-12-26,11.065576721957672,12,9,0.0,1.9,3,8,9,8,10,8,30,73,91,0.3,1033,12,10,232,19,0
2011-12-27,11.494944444444444,10,6,0.0,5.8,2,15,6,5,8,5,21,33,91,0.0,1033,10,9,214,12,0
2011-12-28,11.790656326614988,10,4,0.0,3.8,2,21,5,3,7,3,38,48,89,0.4,1022,10,9,224,22,0
2011-12-29,12.144920396268656,8,3,0.0,3.8,2,28,4,1,5,1,43,53,89,1.0,1020,8,9,250,26,0
2011-12-30,12.40420924890511,6,3,0.0,2.0,1,35,4,1,5,1,31,57,92,1.8,1017,6,9,250,18,0
2011-12-31,12.43602189513382,12,9,0.0,2.0,3,42,9,7,10,7,35,79,94,0.4,1010,12,9,242,21,1
2012-01-01,12.46626520510949,11,9,0.0,3.9,3,48,10,8,11,8,34,80,94,1.3,1005,11,9,221,21,1
2012-01-02,12.7547445243309,7,4,0.0,5.8,2,55,3,1,5,1,32,20,87,0.0,1008,7,10,234,19,0
2012-01-03,12.74404545382775,11,4,0.0,3.9,2,62,6,3,8,3,52,59,89,4.4,1003,11,9,225,32,0
2012-01-04,12.741140477142856,7,3,0.0,3.9,2,69,3,0,5,0,48,49,87,0.7,1014,7,8,246,28,0
2012-01-05,12.848078384560571,9,5,0.0,5.8,2,76,5,2,7,2,58,44,88,1.8,1004,9,10,275,36,0
2012-01-06,12.719621752245862,6,2,0.0,5.8,2,82,3,1,5,1,31,29,91,0.0,1023,6,10,275,18,0
2012-01-07,12.76545991226415,7,3,0.0,3.9,1,89,3,1,5,1,34,65,89,0.3,1015,7,9,219,20,1
2012-01-08,13.395569735933806,8,4,0.0,2.0,2,96,5,3,6,3,26,68,92,0.0,1026,8,10,274,15,1
2012-01-09,12.449049410117647,6,4,0.0,5.8,1,97,4,2,5,2,31,59,91,0.6,1015,6,9,173,18,0
2012-01-10,11.976153838694637,10,7,0.0,2.0,2,91,8,6,9,6,24,67,93,0.2,1033,10,9,246,14,0
2012-01-11,11.981207460606061,10,6,0.0,3.9,2,84,6,4,7,4,26,53,94,0.0,1033,10,10,248,15,0
2012-01-12,12.056824884331796,11,5,0.0,2.0,2,77,6,3,7,3,35,45,92,0.1,1028,11,10,271,20,0
2012-01-13,12.52275687591743,6,2,0.0,5.8,1,70,2,1,4,1,17,11,90,0.0,1032,6,9,219,10,0
2012-01-14,13.496298406833713,6,1,0.0,5.8,2,63,1,1,2,1,13,11,89,0.0,1030,6,10,85,7,1
2012-01-15,14.27115944715262,5,0,0.0,8.2,2,57,0,-2,2,-2,25,9,85,0.0,1025,5,10,110,14,1
2012-01-16,13.04780760738255,7,0,0.0,8.6,2,50,0,-1,3,-1,21,4,83,0.0,1025,7,10,108,12,0
2012-01-17,13.2670712688196,6,0,0.0,8.7,2,43,1,0,3,0,19,26,86,0.0,1028,6,10,187,10,0
2012-01-18,12.789209252863436,10,2,0.0,3.3,2,36,7,4,7,4,31,79,97,1.2,1024,10,7,215,17,0
2012-01-19,12.274760772413794,11,6,0.0,5.1,2,30,8,6,9,6,36,75,91,4.5,1019,11,8,256,22,0
2012-01-20,12.783027081041666,8,3,0.0,5.1,2,23,4,1,6,1,39,61,90,0.7,1019,8,8,262,23,0
2012-01-21,12.735594320283976,11,6,0.0,5.1,2,16,7,5,9,5,43,62,88,0.2,1013,11,10,262,26,1
2012-01-22,13.720799185598377,10,4,0.0,6.9,2,9,4,2,6,2,40,38,87,0.0,1014,10,10,269,23,1
2012-01-23,12.614123767583497,8,2,0.0,8.7,2,3,3,1,4,1,30,34,90,0.1,1018,8,10,278,17,0
2012-01-24,12.872251937403101,7,2,0.0,3.3,1,4,4,1,4,1,20,75,96,6.3,1019,7,7,249,11,0
2012-01-25,12.553495261290323,10,7,0.0,5.1,2,11,7,6,8,6,22,82,94,0.2,1016,10,5,220,14,0
2012-01-26,12.372054406191369,8,4,0.0,8.7,2,18,5,3,7,3,30,48,90,2.8,1009,8,9,202,19,0
2012-01-27,12.471985347435897,8,2,0.0,8.7,1,25,2,0,4,0,26,34,89,0.7,1018,8,9,243,15,0
2012-01-28,13.367956680685921,6,1,0.0,6.9,1,31,2,-1,3,-1,22,69,93,0.4,1027,6,8,127,14,1
2012-01-29,14.127586637184116,5,0,0.0,6.9,1,38,1,-1,2,-1,14,60,92,0.0,1031,5,6,83,9,1
2012-01-30,13.451978834391536,4,0,0.2,6.9,1,45,-1,-2,1,-2,16,50,85,0.2,1027,4,7,78,10,0
2012-01-31,13.890518073666094,3,-2,0.8,5.2,1,52,-1,-3,1,-3,20,56,89,0.9,1026,3,4,38,12,0
